Pathways;Name;Identifier;Formula;Compartment;Monoisotopic Mass;Neutral Monoisotopic Mass;Average Mass;Side compound;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Adenylated molybdopterin;C19848;C20H26N10O12P2S2;x;724,5578;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Adenylyl sulfate;C00224;C10H14N5O10PS;x;427,2844;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);ADP;C00008;C10H15N5O10P2;x;427,2011;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Agmatine;C00179;C5H14N4;x;130,1915;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Aldosterone;C01780;C21H28O5;x;360,444;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);all-trans-4-Hydroxyretinoic acid;C16677;C20H28O3;x;316,4345;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Allantoate;C00499;C4H8N4O4;x;176,1307;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);alpha,alpha-Trehalose;C01083;C12H22O11;x;342,2965;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);alpha-D-Galactose;C00984;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);alpha-D-Galactose 1-phosphate;C00446;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);alpha-D-Glucose;C00267;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);alpha-D-Glucose 6-phosphate;C00668;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Aminoimidazole ribotide;C03373;C8H14N3O7P;x;295,1864;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Ammonia;C00014;NH3;x;17,0305;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);AMP;C00020;C10H14N5O7P;x;347,2212;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Amylose;C00718;(C6H10O5)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Androstenedione;C00280;C19H26O2;x;286,4085;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Anthranilate;C00108;C7H7NO2;x;137,136;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Arachidonate;C00219;C20H32O2;x;304,4669;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);ATP;C00002;C10H16N5O13P3;x;507,181;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-Alanine;C00099;C3H7NO2;x;89,0932;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-Alanyl-N(pi)-methyl-L-histidine;C01262;C10H16N4O3;x;240,259;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-Carotene;C02094;C40H56;x;536,8726;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-Citryl-L-glutamate;C20775;C11H15NO10;x;321,2375;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-D-Fructose 1,6-bisphosphate;C05378;C6H14O12P2;x;340,1157;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-D-Fructose 6-phosphate;C05345;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(11)-ceramide;C01290;C31H56NO13R;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-D-Glucose 6-phosphate;C01172;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-D-Glucosyl-(11)-ceramide;C01190;C25H46NO8R;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);beta-D-Glucuronoside;C03033;C6H9O7R;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Betaine;C00719;C5H11NO2;x;117,1463;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Betaine aldehyde;C00576;C5H12NO;x;102,1549;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Bilirubin;C00486;C33H36N4O6;x;584,6621;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Bilirubin beta-diglucuronide;C05787;C45H52N4O18;x;936,9104;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Biliverdin;C00500;C33H34N4O6;x;582,6463;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Biocytin;C05552;C16H28N4O4S;x;372,4829;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Biotin;C00120;C10H16N2O3S;x;244,3106;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Biotinyl-5'-AMP;C05921;C20H28N7O9PS;x;573,5166;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);But-2-enoyl-[acyl-carrier protein];C04246;C4H5OSR;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Butanoic acid;C00246;C4H8O2;x;88,1051;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Butanoyl-CoA;C00136;C25H42N7O17P3S;x;837,624;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Butyryl-[acp];C05745;C4H7OSR;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cadaverine;C01672;C5H14N2;x;102,1781;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Caffeine;C07481;C8H10N4O2;x;194,1906;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Calcidiol;C01561;C27H44O2;x;400,6371;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Calcitetrol;C18231;C27H44O4;x;432,6359;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Calcitriol;C01673;C27H44O3;x;416,6365;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Campesterol;C01789;C28H48O;x;400,6801;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Carbamoyl phosphate;C00169;CH4NO5P;x;141,0199;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cardiolipin;C05980;C13H18O17P2R4;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Carnosine;C00386;C9H14N4O3;x;226,2325;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CDP;C00112;C9H15N3O11P2;x;403,1764;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CDP-choline;C00307;C14H26N4O11P2;x;488,324;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CDP-diacylglycerol;C00269;C14H19N3O15P2R2;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CDP-ethanolamine;C00570;C11H20N4O11P2;x;446,2442;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CDP-ribitol;C00789;C14H25N3O15P2;x;537,3069;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cellobiose;C00185;C12H22O11;x;342,2965;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cellodextrin;C01898;H2O(C6H10O5)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Chenodeoxycholate;C02528;C24H40O4;x;392,572;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Chenodeoxycholoyl-CoA;C05337;C45H74N7O19P3S;x;1142,0908;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Chitin;C00461;(C8H13NO5)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Chitobiose;C01674;C16H28N2O11;x;424,4003;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Chloroacetaldehyde;C06754;C2H3ClO;x;78,4976;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Chloroacetic acid;C06755;C2H3ClO2;x;94,497;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cholesterol;C00187;C27H46O;x;386,6535;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cholic acid;C00695;C24H40O5;x;408,5714;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Choline;C00114;C5H14NO;x;104,1708;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Choline phosphate;C00588;C5H15NO4P;x;184,1507;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Choloyl-CoA;C01794;C45H74N7O20P3S;x;1158,0902;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Chondroitin;C00401;(C14H21NO11)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide;C04706;C6H3ClO4;x;174,5386;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);cis-3-Chloro-2-propene-1-ol;C06612;C3H5ClO;x;92,5242;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);cis-3-Chloroacrylic acid;C06615;C3H3ClO2;x;106,5077;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);cis-3-Chloroallyl aldehyde;C16348;C3H3ClO;x;90,5083;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate;C04783;C8H8O6;x;200,1455;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);cis-Aconitate;C00417;C6H6O6;x;174,1082;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Citrate;C00158;C6H8O7;x;192,1235;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CMP;C00055;C9H14N3O8P;x;323,1965;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CMP-2-aminoethylphosphonate;C05673;C11H20N4O10P2;x;430,2448;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CMP-N-acetylneuraminate;C00128;C20H31N4O16P;x;614,4511;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CMP-N-trimethyl-2-aminoethylphosphonate;C05674;C14H27N4O10P2;x;473,3325;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CO2;C00011;CO2;x;44,0095;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CoA;C00010;C21H36N7O16P3S;x;767,5341;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cob(I)alamin;C00853;C62H89CoN13O14P;x;1330,3557;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cob(I)yrinate a,c diamide;C06505;C45H61CoN6O12;x;936,932;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cobamide coenzyme;C00194;C72H100CoN18O17P;x;1579,5818;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cocaine;C01416;C17H21NO4;x;303,3529;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Coniferyl alcohol;C00590;C10H12O3;x;180,2005;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Coproporphyrin III;C05770;C36H38N4O8;x;654,7089;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Coproporphyrinogen I;C05768;C36H44N4O8;x;660,7566;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Coproporphyrinogen III;C03263;C36H44N4O8;x;660,7566;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Corticosterone;C02140;C21H30O4;x;346,4605;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cortisol;C00735;C21H30O5;x;362,4599;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cortisone;C00762;C21H28O5;x;360,444;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Creatine;C00300;C4H9N3O2;x;131,1332;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Crotonoyl-CoA;C00877;C25H40N7O17P3S;x;835,6081;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);CTP;C00063;C9H16N3O14P3;x;483,1563;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cys-Gly;C01419;C5H10N2O3S;x;178,2095;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cysteamine;C01678;C2H7NS;x;77,1487;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Cytidine;C00475;C9H13N3O5;x;243,2166;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-4'-Phosphopantothenate;C03492;C9H18NO8P;x;299,2149;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Arginine;C00792;C6H14N4O2;x;174,201;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Erythrose 4-phosphate;C00279;C4H9O7P;x;200,0838;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Fructose;C00095;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Fructose 1,6-bisphosphate;C00354;C6H14O12P2;x;340,1157;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Fructose 1-phosphate;C01094;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Fructose 6-phosphate;C00085;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Galactose;C00124;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucarate;C00818;C6H10O8;x;210,1388;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Gluconic acid;C00257;C6H12O7;x;196,1553;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucono-1,5-lactone;C00198;C6H10O6;x;178,14;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucono-1,5-lactone 6-phosphate;C01236;C6H11O9P;x;258,1199;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucosamine;C00329;C6H13NO5;x;179,1711;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucosamine 6-phosphate;C00352;C6H14NO8P;x;259,151;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucose;C00031;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucose 1-phosphate;C00103;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucose 6-phosphate;C00092;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucuronate;C00191;C6H10O7;x;194,1394;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glucuronolactone;C02670;C6H8O6;x;176,1241;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glutamate;C00217;C5H9NO4;x;147,1293;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glutamine;C00819;C5H10N2O3;x;146,1445;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glyceraldehyde;C00577;C3H6O3;x;90,0779;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glyceraldehyde 3-phosphate;C00118;C3H7O6P;x;170,0578;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Glycerate;C00258;C3H6O4;x;106,0773;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Mannose;C00159;C6H12O6;x;180,1559;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Mannose 1-phosphate;C00636;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Mannose 6-phosphate;C00275;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-myo-Inositol 1,4,5-trisphosphate;C01245;C6H15O15P3;x;420,0956;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-myo-Inositol 3,4-bisphosphate;C04063;C6H14O12P2;x;340,1157;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Ornithine;C00515;C5H12N2O2;x;132,161;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Ribitol 5-phosphate;C01068;C5H13O8P;x;232,1257;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Ribose 5-phosphate;C00117;C5H11O8P;x;230,1098;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Ribulose 5-phosphate;C00199;C5H11O8P;x;230,1098;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Serine;C00740;C3H7NO3;x;105,0926;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Sorbitol;C00794;C6H14O6;x;182,1718;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Tagatose 1,6-bisphosphate;C03785;C6H14O12P2;x;340,1157;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Tagatose 6-phosphate;C01097;C6H13O9P;x;260,1358;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Urobilinogen;C05791;C33H42N4O6;x;590,7098;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Xylose;C00181;C5H10O5;x;150,1299;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Xylulose;C00310;C5H10O5;x;150,1299;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);D-Xylulose 5-phosphate;C00231;C5H11O8P;x;230,1098;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dADP;C00206;C10H15N5O9P2;x;411,2017;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dAMP;C00360;C10H14N5O6P;x;331,2218;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dATP;C00131;C10H16N5O12P3;x;491,1816;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dCDP;C00705;C9H15N3O10P2;x;387,177;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dCMP;C00239;C9H14N3O7P;x;307,1971;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dCTP;C00458;C9H16N3O13P3;x;467,1569;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Deamino-NAD+;C00857;C21H27N6O15P2;x;665,4178;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Decanoic acid;C01571;C10H20O2;x;172,2646;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Decanoyl-CoA;C05274;C31H54N7O17P3S;x;921,7834;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Decanoyl-[acp];C05755;C10H19OSR;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dehydroepiandrosterone;C01227;C19H28O2;x;288,4244;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Deoxyadenosine;C00559;C10H13N5O3;x;251,2419;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Deoxyguanosine;C00330;C10H13N5O4;x;267,2413;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Deoxyinosine;C05512;C10H12N4O4;x;252,2267;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dephospho-CoA;C00882;C21H35N7O13P2S;x;687,5542;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dermatan;C01490;(C14H21NO11)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Desmosterol;C01802;C27H44O;x;384,6377;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dextrin;C00721;(C12H20O10)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dGDP;C00361;C10H15N5O10P2;x;427,2011;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dGMP;C00362;C10H14N5O7P;x;347,2212;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dGTP;C00286;C10H16N5O13P3;x;507,181;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Diacylglyceryl-2-aminoethylphosphonate;C05675;C7H12NO7PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Diacylglyceryl-N-trimethyl-2-aminoethylphosphonate;C05676;C10H19NO7PR2;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dihydrobiopterin;C00268;C9H13N5O3;x;239,2312;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dihydroceramide;C12126;C19H38NO3R;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dihydrofolate;C00415;C19H21N7O6;x;443,4133;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dihydrolipoylprotein;C02972;C8H16NOS2R;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dihydropteroate;C00921;C14H14N6O3;x;314,2994;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dimethylallyl diphosphate;C00235;C5H12O7P2;x;246,0921;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);DNA;C00039;C10H17O8PR2(C5H8O5PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dodecanoic acid;C02679;C12H24O2;x;200,3178;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dodecanoyl-[acyl-carrier protein];C05223;C12H23OSR;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dolichol;C00381;C20H36O(C5H8)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dolichyl beta-D-glucosyl phosphate;C01246;C26H47O9P(C5H8)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dolichyl D-glucosyl phosphate;G10618;NA;x;162,1;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dolichyl diphosphate;C00621;C20H38O7P2(C5H8)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dolichyl phosphate;C00110;C20H37O4P(C5H8)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dolichyl phosphate D-mannose;G10617;NA;x;162,1;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dolichyl phosphate D-mannose;C03862;C26H47O9P(C5H8)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dopamine;C03758;C8H11NO2;x;153,1784;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Dopaquinone;C00822;C9H9NO4;x;195,1721;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);DS 3;G00018;NA;x;2352,2;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dTDP;C00363;C10H16N2O11P2;x;402,1884;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dTMP;C00364;C10H15N2O8P;x;322,2085;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dTTP;C00459;C10H17N2O14P3;x;482,1683;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dUDP;C01346;C9H14N2O11P2;x;388,1618;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dUMP;C00365;C9H13N2O8P;x;308,1819;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);dUTP;C00460;C9H15N2O14P3;x;468,1417;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);DWA-2;G00872;NA;x;477,4;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Ecgonine methyl ester;C12448;C10H17NO3;x;199,2469;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Enzyme N6-(dihydrolipoyl)lysine;C15973;C8H16NOS2R;x;0;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Episterol;C15777;C28H46O;x;398,6642;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Estradiol-17beta;C00951;C18H24O2;x;272,382;0;0;false;;;;;;;;;;;;;;;;
Metabolic pathways - Homo sapiens (human);Estriol;C05141;C18H24O3;x;288,3814;0;0;false;;;;;;;;;;;;;;;;
