Pathways;Name;Identifier;Formula;Compartment;Monoisotopic Mass;Neutral Monoisotopic Mass;Average Mass;Side compound;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Phenylalanyl-tRNA(Phe);C03511;C19H26NO11PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Proline;C00148;C5H9NO2;x;115,1305;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Prolyl-tRNA(Pro);C02702;C15H24NO11PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Selenocysteinyl-tRNA(Sec);C06482;C13H22NO11PSeR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Serine;C00065;C3H7NO3;x;105,0926;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Seryl-tRNA(Sec);C06481;C13H22NO12PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Seryl-tRNA(Ser);C02553;C13H22NO12PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Threonine;C00188;C4H9NO3;x;119,1192;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Threonyl-tRNA(Thr);C02992;C14H24NO12PR2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Tryptophan;C00078;C11H12N2O2;x;204,2252;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Tryptophanyl-tRNA(Trp);C03512;C26H31N7O11PR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Tyrosine;C00082;C9H11NO3;x;181,1885;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Tyrosyl-tRNA(Tyr);C02839;C24H30N6O12PR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Valine;C00183;C5H11NO2;x;117,1463;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);L-Valyl-tRNA(Val);C02554;C20H30N6O11PR(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
